Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,state
1/12/14,-41.875,24.655,765,15.723,0.154495238,3.047819648,19.0404817,0.868898005,Minas Gerais
2/11/14,-41.875,26.35,765,16.537,0.559616422,3.170566383,18.94472343,0.792940469,Minas Gerais
3/13/14,-41.875,26.88,765,16.571,0.144195552,3.502342355,27.7908985,0.775851473,Minas Gerais
4/12/14,-41.875,26.898,765,14.788,0,2.452568814,23.13317485,0.764346595,Minas Gerais
5/12/14,-41.875,22.747,765,13.391,0.185394348,3.92570976,21.36146063,0.756271545,Minas Gerais
6/11/14,-41.875,19.078,765,15.53,0.913238208,4.160246015,5.69496794,0.876761347,Minas Gerais
7/11/14,-41.875,26.615,765,11.878,0,1.822186308,14.82566021,0.705437479,Minas Gerais
1/6/98,-35.9375,31.028,454,20.071,0.144195624,3.494915922,10.36951884,0.686742364,Paraiba
2/5/98,-35.9375,32.487,454,20.747,0,3.785045261,20.42752932,0.697043925,Paraiba
3/7/98,-35.9375,32.16,454,19.591,0,3.353470689,20.86672147,0.680671603,Paraiba
4/6/98,-35.9375,34.251,454,20.484,0,4.600149472,26.3331009,0.663480729,Paraiba
5/6/98,-35.9375,32.531,454,18.782,0.030899052,2.606360814,12.15911088,0.711740796,Paraiba
6/5/98,-35.9375,30.806,454,17.942,0.048065198,4.020379232,18.48369312,0.688521573,Paraiba
7/5/98,-35.9375,26.797,454,17.233,0.075531017,4.089519868,14.45282424,0.787526999,Paraiba
8/4/98,-35.9375,29.383,454,16.795,0,4.661975484,23.82913242,0.709588282,Paraiba
9/3/98,-35.9375,26.145,454,16.587,0.858307313,4.339510864,20.62316466,0.804950767,Paraiba
10/3/98,-35.9375,31.811,454,17.659,0,4.654008329,21.03395659,0.7047226,Paraiba
11/2/98,-35.9375,33.911,454,19.925,0,4.671557265,27.77578416,0.670853007,Paraiba
12/2/98,-35.9375,32.87,454,19.726,0,4.286834561,27.1839888,0.686548017,Paraiba
1/1/99,-35.9375,32.406,454,19.224,0,4.492325293,22.27894344,0.670542857,Paraiba
1/31/99,-35.9375,33.229,454,19.64,0,4.006672625,20.06825609,0.652226501,Paraiba
3/2/99,-35.9375,32.568,454,19.927,0,4.145974809,26.24012118,0.674447736,Paraiba
4/1/99,-35.9375,29.872,454,18.511,0.072097776,4.457352734,20.45103966,0.711993391,Paraiba
5/1/99,-35.9375,28.35,454,19.765,3.871821312,2.995003989,13.1327442,0.890657494,Paraiba
5/31/99,-35.9375,31.309,454,17.641,0.09441378,2.954645165,18.35566992,0.752459031,Paraiba
