,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
96,2014,-41.875,20.504,765.0,17.396,9.851648292,3.456566335,5.30054892,0.8998477490000001,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2015,-41.875,30.13,765.0,14.835999999999999,0.617981004,2.381317375,28.209080699999998,0.721758468,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2016,-41.875,33.077,765.0,16.271,0.0,2.211482147,25.66988467,0.6175307179999999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2017,-41.875,33.171,765.0,16.590999999999998,2.7714744,1.841359767,19.31613912,0.68240137,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1998,-41.875,29.328000000000003,765.0,17.349,0.157928436,1.888057823,26.16935526,0.7395600920000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1999,-41.875,26.316,765.0,16.809,1.088333734,2.096151741,15.72254874,0.8571493640000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2000,-41.875,26.108,765.0,13.812999999999999,0.044631972,2.106548737,17.3625705,0.8120132040000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2001,-41.875,23.163,765.0,13.519,0.322723094,3.2266735019999997,18.09084114,0.730293902,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2002,-41.875,26.171,765.0,10.255999999999998,0.0034332259999999997,2.7356114560000004,20.7638451,0.6972780759999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2003,-41.875,26.191,765.0,17.07,0.753593126,3.5408590419999997,17.98188768,0.707242719,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2004,-41.875,30.721,765.0,16.674,0.034332286000000004,2.610392327,17.57087091,0.6493609579999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2005,-41.875,20.579,765.0,16.741,8.775330084,3.6353791039999996,6.45716196,0.863086728,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2006,-41.875,30.214000000000002,765.0,16.561,0.027465818,2.147765281,23.546050199999996,0.704489554,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2007,-41.875,28.249000000000002,765.0,18.237000000000002,0.147628512,2.972859338,27.7813728,0.731073436,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2008,-41.875,31.581,765.0,15.876,0.0,2.957014237,31.65812172,0.58059737,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2009,-41.875,23.09,765.0,19.544,9.798431616,1.6742592530000002,14.99394339,0.946792878,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2010,-41.875,30.998,765.0,16.275,0.0,2.0839698,27.71893296,0.654351601,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2011,-41.875,26.638,765.0,17.402,4.924964189,2.6179836709999997,16.059042,0.871106061,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2012,-41.875,29.178,765.0,17.34,0.0034332259999999997,1.9385888169999999,19.30685562,0.65797634,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2013,-41.875,26.605999999999998,765.0,12.873,0.010299679,2.558958533,19.3764393,0.716344555,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2014,-41.875,30.149,765.0,15.050999999999998,0.12531277400000002,1.922358936,18.81821556,0.639570038,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2015,-41.875,22.776999999999997,765.0,12.833,0.394820964,3.3974601489999996,21.0675375,0.77620218,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2016,-41.875,32.876999999999995,765.0,16.119,0.26264165,2.411763069,26.34153345,0.52860993,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2017,-41.875,29.229,765.0,15.700999999999999,0.10986336,3.9174216580000003,29.4237936,0.6143299289999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1998,-41.875,33.898,765.0,18.051,0.065231323,3.960986157,30.947715000000002,0.49906082,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
