,0
2521,1.117
2522,1.6130000000000002
2523,3.4419999999999997
2524,1.061
2525,2.008
2526,1.63
2527,2.255
2528,1.5330000000000001
2529,3.495
2530,2.79
2531,15.405999999999999
2532,18.566
2533,6.063
2534,7.7620000000000005
2535,14.085999999999999
2536,11.132
2537,13.603
2538,11.57
2539,6.218
2540,14.453
2541,2.875
2542,2.25
2543,14.607999999999999
2544,2.628
2545,6.195
2546,3.568
2547,7.167000000000001
2548,5.112
2549,6.228
2550,6.229
2551,10.363
2552,11.729000000000001
2553,6.251
2554,8.49
2555,11.034
2556,15.79
2557,24.994
2558,20.551
2559,12.661
2560,25.963
2561,7.965
2562,3.1289999999999996
2563,18.366
2564,6.332000000000001
2565,10.344000000000001
2566,5.5760000000000005
2567,7.081
2568,11.068
2569,8.98
2570,23.945
2571,2.707
2572,6.109
2573,6.062
2574,6.542999999999999
2575,9.375
2576,5.341
2577,9.295
2578,7.765
2579,2.327
2580,4.89
2581,6.3260000000000005
2582,2.5789999999999997
2583,4.465
2584,2.01
2585,2.8369999999999997
2586,1.986
2587,5.281000000000001
2588,6.49
2589,2.7489999999999997
2590,4.8
2591,182.0
2592,842.0
2593,502.0
2594,373.0
2595,2.905
2596,2.097
2597,2.405
2598,1.368
2599,1.031
2600,299.0
2601,190.0
2602,588.0
2603,768.0
2604,1.103
2605,375.0
2606,1.064
2607,1.018
2608,1.93
2609,918.0
2610,813.0
2611,76.0
2612,47.0
2613,98.0
2614,37.0
2615,1.157
2616,1.6219999999999999
2617,1.217
2618,246.0
2619,23.0
2620,81.0
2621,159.0
2622,171.0
2623,846.0
2624,431.0
2625,492.0
2626,447.0
2627,466.0
2628,1.777
2629,425.0
2630,0.0
2631,239.0
2632,326.0
2633,97.0
2634,304.0
2635,182.0
2636,258.0
2637,59.0
2638,59.0
2639,19.0
2640,63.0
2641,229.0
2642,72.0
2643,129.0
2644,201.0
2645,174.0
2646,197.0
2647,226.0
2648,127.0
2649,355.0
2650,0.0
2651,69.0
2652,81.0
2653,89.0
2654,98.0
2655,108.0
2656,169.0
2657,221.0
2658,104.0
2659,111.0
2660,78.0
2661,164.0
2662,157.0
2663,61.0
2664,112.0
2665,100.0
2666,139.0
2667,148.0
2668,187.0
2669,165.0
2670,0.0
2671,100.0
2672,23.0
2673,39.0
2674,115.0
2675,137.0
2676,225.0
2677,158.0
2678,137.0
2679,137.0
2680,97.0
2681,118.0
2682,149.0
2683,37.0
2684,169.0
2685,158.0
2686,95.0
2687,190.0
2688,143.0
2689,170.0
2690,0.0
2691,97.0
2692,90.0
2693,108.0
2694,230.0
2695,126.0
2696,97.0
2697,126.0
2698,51.0
2699,46.0
2700,72.0
2701,291.0
2702,136.0
2703,23.0
2704,97.0
2705,78.0
2706,129.0
2707,65.0
2708,161.0
2709,59.0
2710,0.0
2711,206.0
2712,127.0
2713,112.0
2714,88.0
2715,74.0
2716,25.0
2717,328.0
2718,99.0
2719,62.0
2720,34.0
2721,927.0
2722,105.0
2723,81.0
2724,157.0
2725,72.0
2726,70.0
2727,58.0
2728,97.0
2729,72.0
2730,82.0
2731,127.0
2732,157.0
2733,249.0
2734,517.0
2735,170.0
2736,394.0
2737,439.0
2738,89.0
2739,141.0
2740,24.0
2741,376.0
2742,149.0
2743,104.0
2744,96.0
2745,35.0
2746,84.0
2747,299.0
2748,120.0
2749,175.0
2750,360.0
2751,1.297
2752,160.0
2753,591.0
2754,935.0
2755,182.0
2756,529.0
2757,859.0
2758,289.0
2759,197.0
2760,116.0
2761,354.0
2762,589.0
2763,250.0
2764,538.0
2765,201.0
2766,193.0
2767,371.0
2768,687.0
2769,1.05
2770,228.0
2771,4.355
2772,530.0
2773,2.484
2774,3.984
2775,953.0
2776,1.4080000000000001
2777,4.484
2778,1.129
2779,1.8230000000000002
2780,456.0
2781,816.0
2782,1.7209999999999999
2783,552.0
2784,2.951
2785,677.0
2786,312.0
2787,1.2930000000000001
2788,1.4809999999999999
2789,1.4880000000000002
2790,457.0
2791,2.969
2792,510.0
2793,1.383
2794,2.252
2795,1.124
2796,2.511
2797,1.87
2798,1.078
2799,4.446000000000001
2800,1.62
2801,1.146
2802,1.505
2803,1.072
2804,2.2640000000000002
2805,1.074
2806,365.0
2807,1.482
2808,2.383
2809,2.984
2810,576.0
2811,2.053
2812,657.0
2813,563.0
2814,2.173
2815,541.0
2816,960.0
2817,647.0
2818,244.0
2819,668.0
2820,432.0
2821,854.0
2822,597.0
2823,276.0
2824,652.0
2825,378.0
2826,581.0
2827,507.0
2828,1.2
2829,685.0
2830,306.0
2831,1.194
2832,274.0
2833,220.0
2834,1.47
2835,380.0
2836,208.0
2837,159.0
2838,83.0
2839,82.0
2840,50.0
2841,439.0
2842,259.0
2843,445.0
2844,115.0
2845,423.0
2846,190.0
2847,276.0
2848,258.0
2849,133.0
2850,100.0
2851,306.0
2852,139.0
2853,143.0
2854,376.0
2855,153.0
2856,110.0
2857,46.0
2858,18.0
2859,15.0
2860,208.0
2861,87.0
2862,276.0
2863,577.0
2864,194.0
2865,195.0
2866,84.0
2867,394.0
2868,123.0
2869,0.0
2870,36.0
2871,24.0
2872,18.0
2873,29.0
2874,37.0
2875,22.0
2876,28.0
2877,109.0
2878,91.0
2879,85.0
2880,74.0
2881,118.0
2882,61.0
2883,75.0
2884,75.0
2885,133.0
2886,147.0
2887,61.0
2888,106.0
2889,0.0
2890,112.0
2891,20.0
2892,39.0
2893,62.0
2894,126.0
2895,29.0
2896,79.0
2897,96.0
2898,71.0
2899,59.0
2900,74.0
2901,155.0
2902,111.0
2903,123.0
2904,143.0
2905,157.0
2906,84.0
2907,207.0
2908,61.0
2909,0.0
2910,13.0
2911,24.0
2912,13.0
2913,62.0
2914,81.0
2915,81.0
2916,107.0
2917,69.0
2918,155.0
2919,61.0
2920,106.0
2921,109.0
2922,67.0
2923,152.0
2924,110.0
2925,77.0
2926,80.0
2927,123.0
2928,105.0
2929,0.0
2930,27.0
2931,49.0
2932,60.0
2933,99.0
2934,215.0
2935,48.0
2936,89.0
2937,50.0
2938,35.0
2939,113.0
2940,26.0
2941,112.0
2942,66.0
2943,180.0
2944,61.0
2945,161.0
2946,109.0
2947,172.0
2948,69.0
2949,0.0
2950,51.0
2951,67.0
2952,83.0
2953,98.0
2954,75.0
2955,79.0
2956,134.0
2957,62.0
2958,124.0
2959,50.0
2960,128.0
2961,179.0
2962,151.0
2963,144.0
2964,150.0
