year,state,month,number,date
2008,Alagoas,Outubro,18,"Tuesday, January 1, 2008"
2009,Alagoas,Outubro,30,"Thursday, January 1, 2009"
2010,Alagoas,Outubro,16,"Friday, January 1, 2010"
2011,Alagoas,Outubro,23,"Saturday, January 1, 2011"
2012,Alagoas,Outubro,28,"Sunday, January 1, 2012"
2013,Alagoas,Outubro,25,"Tuesday, January 1, 2013"
2014,Alagoas,Outubro,7,"Wednesday, January 1, 2014"
2015,Alagoas,Outubro,40,"Thursday, January 1, 2015"
2016,Alagoas,Outubro,74,"Friday, January 1, 2016"
2017,Alagoas,Outubro,14,"Sunday, January 1, 2017"
1998,Alagoas,Novembro,19,"Thursday, January 1, 1998"
1999,Alagoas,Novembro,15,"Friday, January 1, 1999"
2000,Alagoas,Novembro,2,"Saturday, January 1, 2000"
2001,Alagoas,Novembro,22,"Monday, January 1, 2001"
2002,Alagoas,Novembro,50,"Tuesday, January 1, 2002"
2003,Alagoas,Novembro,17,"Wednesday, January 1, 2003"
2004,Alagoas,Novembro,28,"Thursday, January 1, 2004"
2005,Alagoas,Novembro,25,"Saturday, January 1, 2005"
2006,Alagoas,Novembro,12,"Sunday, January 1, 2006"
2007,Alagoas,Novembro,15,"Monday, January 1, 2007"
2008,Alagoas,Novembro,37,"Tuesday, January 1, 2008"
2009,Alagoas,Novembro,55,"Thursday, January 1, 2009"
2010,Alagoas,Novembro,31,"Friday, January 1, 2010"
2011,Alagoas,Novembro,23,"Saturday, January 1, 2011"
2012,Alagoas,Novembro,95,"Sunday, January 1, 2012"
2013,Alagoas,Novembro,10,"Tuesday, January 1, 2013"
2014,Alagoas,Novembro,14,"Wednesday, January 1, 2014"
2015,Alagoas,Novembro,162,"Thursday, January 1, 2015"
2016,Alagoas,Novembro,76,"Friday, January 1, 2016"
2017,Alagoas,Novembro,10,"Sunday, January 1, 2017"
1998,Alagoas,Dezembro,32,"Thursday, January 1, 1998"
1999,Alagoas,Dezembro,12,"Friday, January 1, 1999"
2000,Alagoas,Dezembro,2,"Saturday, January 1, 2000"
2001,Alagoas,Dezembro,30,"Monday, January 1, 2001"
2002,Alagoas,Dezembro,95,"Tuesday, January 1, 2002"
2003,Alagoas,Dezembro,43,"Wednesday, January 1, 2003"
